CNS5,GJ,Comp,NComp,GaiaDR3,HIP,RAJ2000,DEJ2000,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Ksmag,W1mag,SimbadName
3591,"551   ","C   ",3,5853498713190525696,70890,217.39232147201,-62.67607511677,768.07,0.06,-3781.74,769.47,-22.4,0.5,8.984749,7.568535,4.384,4.195," CNS5 3591"
3627,"559   ","AB  ",3,,71683,219.9204081301,-60.83514521898,754.81,4.11,-3679.25,473.67,,,,,,," CNS5 3627"
4403,"693   ","    ",,5918660719983560192,86990,266.63344447279,-57.32506180218,169.83,0.05,-1116.91,-1353.93,,,9.592273,8.416265,6.016,," CNS5 4403"
4293,"674   ","    ",,5951824121022278144,85523,262.17016392212,-46.89910489864,219.68,0.03,572.57,-880.58,,,8.336431,7.193375,4.855,," CNS5 4293"
4348,"682   ","    ",,5955305209191546112,86214,264.26088738973,-44.32338224304,199.74,0.03,-705.95,-938.08,,,9.602153,8.340336,5.606,," CNS5 4348"
4253,"667   ","C   ",3,5975663354131618304,84709,259.75125274377,-34.99779509268,138.11,0.03,1131.52,-215.57,5.68,0.25,9.386162,8.294535,6.036,5.886," CNS5 4253"
4252,"667   ","AB  ",3,,84709,259.73483503586,-34.98957438559,146.29,9.03,1129.76,-77.02,,,,,,," CNS5 4252"
3863,"12259 ","    ",,5985290231327158144,,235.19517746259,-51.0281013069,187.74,0.06,1949.46,-324.79,,,12.7359295,11.288808,7.943,7.632," CNS5 3863"
3826,"588   ","    ",,6002807341299977216,76074,233.04692742483,-41.28017408697,169.03,0.03,-1176.45,-1030.97,,,8.2741785,7.139158,4.759,4.664," CNS5 3826"
3201,"11877 ","    ",,6135947032490329472,,194.77664455324,-43.60796356259,129.5,0.07,1102.92,-264.54,,,14.83373,13.307965,9.52,9.232," CNS5 3201"
3118,"3737  ","    ",,6153483658836320384,,189.70080543574,-38.38740912438,150.1,0.04,-665.16,-1312.64,,,11.226226,9.951601,7.386,," CNS5 3118"
3697,"3877  ","    ",,6224387727748521344,,224.15695945057,-28.16725415148,141.86,0.07,-490.29,-843.48,1.0,2.0,14.061078,12.566201,8.928,8.718," CNS5 3697"
3700,"570   ","A   ",2,6232511606838403968,73184,224.37159427348,-21.42314039626,169.88,0.07,1031.47,-1723.62,26.81,0.13,5.3640366,4.637024,3.048,," CNS5 3700"
3699,"12147 ","B   ",2,,,224.3159972,-21.3689057,170.01,0.09,1031.4,-1723.65,,,,,15.242,14.932," CNS5 3699"
3866,"12260 ","    ",,,,235.465249,-22.840276,166.9,2.0,-902.8,-91.4,,,,,,16.736," CNS5 3866"
3707,"12151 ","    ",,6305165514134625024,,224.97665286075,-18.5377564109,174.04,1.83,8.94,-9.87,,,20.435349,18.809788,,16.878," CNS5 3707"
3739,"12172 ","    ",,6306068659857135232,,226.94794579637,-16.46512505033,135.0,0.26,-151.79,-896.01,-39.85,0.05,17.951569,16.338354,11.312,10.67," CNS5 3739"
3780,"581   ","    ",,6322070093095493504,74995,229.85630133329,-7.72270702416,158.77,0.03,-1221.28,-97.23,,,9.421787,8.251837,5.837,," CNS5 3780"
3614,"555   ","    ",,6324325225803432320,71253,218.56843175697,-12.51692385359,159.98,0.06,-355.14,593.04,,,9.894982,8.646179,5.939,5.867," CNS5 3614"
5449,"845   ","A   ",2,6412595290592307840,108870,330.8724078796,-56.79725466123,274.84,0.11,3966.66,-2536.19,-40.5,0.23,4.322904,3.610557,2.237,," CNS5 5449"
5452,"845   ","B   ",2,6412596012146801152,,331.07645259656,-56.79381206688,270.66,0.7,3981.98,-2466.83,,,18.056162,16.060108,11.208,10.718," CNS5 5452"
4994,"780   ","    ",,6427464123776727168,99240,302.19503988923,-66.18709128442,163.95,0.14,1211.76,-1130.24,,,3.3641381,2.82708,1.933,0.106," CNS5 4994"
4651,"12724 ","    ",,6439125097427143808,,281.29804386226,-63.96056736658,249.67,0.15,2583.19,588.5,-18.0,2.0,14.02148,12.451222,8.508,8.15," CNS5 4651"
5688,"887   ","    ",,6553614253923452800,114046,346.5039166796,-35.84716420822,304.16,0.02,6766.0,1330.29,8.17,0.14,6.5220323,5.491506,3.465,," CNS5 5688"
5309,"832   ","    ",,6562924609150908416,106440,323.39125187764,-49.01263039681,201.35,0.03,-45.92,-816.87,12.52,0.15,7.739947,6.662552,4.501,," CNS5 5309"
5445,"4248  ","    ",,6575069780231675264,,330.62692304344,-37.08193913675,130.42,0.06,805.69,-229.74,,,10.46742,9.25388,6.718,6.546," CNS5 5445"
5246,"825   ","    ",,6583272171336048640,105090,319.2950181381,-38.8724564007,251.91,0.04,-3258.97,-1145.86,20.56,0.13,5.984104,5.039138,3.1,2.094," CNS5 5246"
5660,"879   ","B   ",2,6604147121141267712,113283,344.10194140174,-31.56626896213,131.58,0.03,330.2,-158.6,7.0,0.16,6.0918646,5.346338,3.805,," CNS5 5660"
5665,"881   ","A   ",2,,113368,344.41177298961,-29.62183680296,129.81,0.47,328.95,-164.67,,,,,,," CNS5 5665"
5623,"13282 ","    ",,6623351805412369024,,342.02033817244,-24.3696274176,130.3,0.04,331.61,-183.8,,,11.129232,9.86308,7.206,6.918," CNS5 5623"
4800,"754   ","    ",,6663600360560306560,,290.20411626708,-45.5711061701,169.24,0.07,658.78,-2896.15,,,10.752913,9.472213,6.845,," CNS5 4800"
5017,"784   ","    ",,6673000841376349696,99701,303.477390556,-45.16473054248,162.25,0.03,778.33,-159.94,-33.46,0.52,7.2426615,6.278736,4.281,," CNS5 5017"
5008,"783   ","AB  ",2,6697578465310949376,99461,302.80226904331,-36.10821653737,166.33,0.12,458.88,-1576.73,-129.3,0.14,5.033037,4.404858,,," CNS5 5008"
5161,"13024 ","    ",,6882963066420161664,103039,313.13613275965,-16.97455846821,177.99,0.04,-309.12,37.05,,,10.081701,8.835035,6.199,," CNS5 5161"
