CNS5,GJ,Comp,NComp,P?,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,Epoch,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Jmag,Hmag,Ksmag,W1mag,SimbadName
3591,551,C,3,0,559.,5853498713190525696,70890,217.39232147201,-62.67607511677,2016.0000,768.07,0.06,-3781.74,769.47,-22.40,0.50,8.9847490,7.568535,5.357,4.835,4.384,4.195,CNS5 3591
3627,559,AB,3,1,,,71683,219.92040813010,-60.83514521897,1991.2500,754.81,4.11,-3679.25,473.67,,,,,,,,,CNS5 3627
4449,699,,,0,,4472832130942575872,87937,269.44850252544,+4.73942005111,2016.0000,547.02,0.05,-801.55,10362.39,,,8.1939745,6.958091,,,,,CNS5 4449
2653,11551,AB,2,1,,,,162.31470600000,-53.31838470000,2000.0000,500.51,0.11,-2754.77,358.72,,,,,10.733,9.563,8.841,7.872,CNS5 2653
2194,11286,,,0,,,,133.79475980000,-7.24514560000,2000.0000,439.00,2.40,-8123.70,673.20,,,,,,,,17.819,CNS5 2194
2674,406,,,0,,3864972938605115520,,164.10319030756,+7.00272694098,2016.0000,415.18,0.08,-3866.34,-2699.21,19.32,0.15,11.0383910,9.585450,7.085,6.482,6.084,5.836,CNS5 2674
2696,411,,,0,,762815470562110464,54035,165.83095967578,+35.94865303266,2016.0000,392.78,0.04,-580.06,-4776.59,,,6.5511720,5.475513,4.320,3.722,3.501,,CNS5 2696
1676,244,A,2,1,,,32349,101.28854105207,-16.71314306264,1991.2500,379.21,1.58,-546.01,-1223.07,,,,,,,,,CNS5 1676
1675,244,B,2,0,,2947050466531873024,,101.28662552099,-16.72093252602,2016.0000,374.51,0.26,-461.57,-914.52,,,8.5241330,8.398789,,,,,CNS5 1675
425,65,B,2,0,,5140693571158946048,,24.77167420821,-17.94768286001,2016.0000,373.84,0.56,3178.69,584.06,,,10.8178380,9.423653,,,,,CNS5  425
424,65,A,2,1,,5140693571158739840,,24.77155429345,-17.94829988713,2016.0000,369.93,0.27,3385.80,532.00,29.00,2.00,10.5075420,9.067688,6.283,5.690,5.343,5.115,CNS5  424
4678,729,,,0,,4075141768785646848,92403,282.45878901752,-23.83709744873,2016.0000,336.08,0.04,639.37,-193.96,,,9.1264140,7.898147,6.222,5.655,5.370,5.190,CNS5 4678
5844,905,,,0,,1926461164913660160,,355.48001525816,+44.17037570075,2016.0000,316.54,0.05,112.53,-1591.65,-77.76,0.00,10.3792770,9.017014,6.884,6.247,5.929,5.694,CNS5 5844
905,144.0,,,0,,5164707970261890560,16537,53.22829341518,-9.45816821629,2016.0000,310.58,0.16,-974.76,20.88,,,3.4657520,2.842150,2.228,1.880,1.776,-0.792,CNS5  905
5688,887,,,0,,6553614253923452800,114046,346.50391667960,-35.84716420822,2016.0000,304.16,0.02,6766.00,1330.29,8.17,0.14,6.5220323,5.491506,4.338,3.608,3.465,,CNS5 5688
2890,447,,,0,,3796072592206250624,57548,176.93768799004,+0.79911997024,2016.0000,296.36,0.03,607.30,-1223.03,,,9.6010000,8.327767,6.505,5.945,5.654,5.437,CNS5 2890
5586,866,ABC,3,1,,,,339.65069394500,-15.28964705186,2016.0000,293.60,0.90,2314.80,2295.30,,,,,,,,,CNS5 5586
5218,820,B,2,0,,1872046574983497216,104217,316.75366275256,+38.75607277206,2016.0000,286.01,0.03,4105.98,3155.94,-64.43,0.13,5.4506445,4.556912,3.546,2.895,2.544,,CNS5 5218
5217,820,A,2,1,,1872046609345556480,104214,316.74847929400,+38.76386244650,2016.0000,285.99,0.07,4164.21,3249.61,-65.94,0.14,4.7667130,3.977203,3.114,2.540,2.248,,CNS5 5217
1895,280.0,,,0,,,37279,114.82724201809,+5.22750757748,1991.2500,284.56,1.26,-714.59,-1036.80,,,,,,,,,CNS5 1895
4634,725,B,2,0,,2154880616774131712,91772,280.68308624583,+59.63514545482,2016.0000,283.86,0.03,-1400.26,1862.53,,,8.5247040,7.334221,,,,,CNS5 4634
4633,725,A,2,1,,2154880616774131840,91768,280.68307083523,+59.63835790775,2016.0000,283.86,0.02,-1311.68,1792.32,,,7.8543930,6.705933,5.189,4.741,4.432,,CNS5 4633
89,15,A,2,1,,385334230892516480,1475,4.61322625756,+44.02478674399,2016.0000,280.74,0.02,2891.52,411.83,11.51,0.14,7.2185670,6.167740,5.252,4.476,4.018,3.872,CNS5   89
90,15,B,2,0,,385334196532776576,,4.62530068122,+44.02874451664,2016.0000,280.74,0.03,2862.80,336.43,,,9.6866460,8.455489,6.789,6.191,5.948,,CNS5   90
2093,1111,,,0,,703790044252850688,,127.45009240231,+26.77328596508,2016.0000,279.26,0.08,-1113.69,-612.19,53.84,5.53,12.1674550,10.705456,8.235,7.617,7.260,6.946,CNS5 2093
5449,845,A,2,1,,6412595290592307840,108870,330.87240787960,-56.79725466123,2016.0000,274.84,0.11,3966.66,-2536.19,-40.50,0.23,4.3229040,3.610557,2.894,2.349,2.237,,CNS5 5449
448,71.0,,,0,,2452378776434477184,8102,26.00905505716,-15.93368020069,2016.0000,273.96,0.17,-1721.05,854.16,,,3.3003998,2.748299,2.149,1.800,1.794,-0.550,CNS5  448
919,1061,,,0,,4848140361962951552,,54.00339387736,-44.51436231605,2016.0000,272.19,0.04,745.65,-373.32,,,10.9954560,9.615727,7.523,7.015,6.610,,CNS5  919
5452,845,B,2,0,,6412596012146801152,,331.07645259656,-56.79381206688,2016.0000,270.66,0.70,3981.98,-2466.83,,,18.0561620,16.060108,11.908,11.306,11.208,10.718,CNS5 5452
334,54.1,,,0,,2358524597030794112,5643,18.13325425371,-16.99615487248,2016.0000,269.11,0.04,1205.07,637.55,,,10.4365250,9.134620,7.258,6.749,6.420,6.164,CNS5  334
1843,273,,,0,,3139847906307949696,36208,111.85462844259,+5.20938270171,2016.0000,264.16,0.05,571.23,-3691.49,,,8.5763880,7.353947,5.714,5.219,4.857,4.787,CNS5 1843
723,10393,,,0,,35227046884571776,,43.26964247679,+16.86437381898,2016.0000,261.00,0.12,3429.08,-3805.54,63.00,5.00,12.2631030,10.790128,8.394,7.883,7.585,7.145,CNS5  723
1304,191,,,0,,4810594479418041856,24186,77.95993735022,-45.04381269936,2016.0000,254.21,0.02,6491.22,-5708.61,244.99,0.18,8.0635520,7.059598,5.821,5.316,5.049,,CNS5 1304
5246,825,,,0,,6583272171336048640,105090,319.29501813810,-38.87245640070,2016.0000,251.91,0.04,-3258.97,-1145.86,20.56,0.13,5.9841040,5.039138,4.046,3.256,3.100,2.094,CNS5 5246
5550,860,AB,2,1,,,110893,337.00174035238,+57.69701975999,1991.2500,249.94,1.87,-865.47,-461.53,,,,,,,,,CNS5 5550
4651,12724,,,0,,6439125097427143808,,281.29804386226,-63.96056736658,2016.0000,249.67,0.15,2583.19,588.50,-18.00,2.00,14.0214800,12.451222,9.544,8.967,8.508,8.150,CNS5 4651
2647,11547,,,0,,5393446658454453632,,162.05388771667,-39.93962594731,2016.0000,247.28,0.06,-1179.31,-988.12,-11.00,2.00,14.0058820,12.463350,9.538,8.905,8.447,8.080,CNS5 2647
1828,11075,,,0,,,,110.61366160000,-5.67494590000,2000.0000,242.80,2.40,-904.10,352.00,,,,,,,,15.250,CNS5 1828
1610,234,,,0,,,30920,97.34581159163,-2.81247674867,1991.2500,242.32,3.12,705.28,-611.92,,,,,,,,,CNS5 1610
4043,628,,,0,,4330690742322011520,80824,247.57481416249,-12.66785108081,2016.0000,232.19,0.03,-94.21,-1183.92,-21.61,0.33,8.8018770,7.590719,5.950,5.373,5.075,,CNS5 4043
240,35,,,0,,2552928187080872832,3829,12.29674025046,+5.37655660843,2016.0000,231.81,0.02,1231.40,-2711.88,,,12.2991630,11.933642,11.688,11.572,11.498,11.410,CNS5  240
3092,473,A,2,1,,3902874650602495232,,188.31449280185,+9.02209162485,2016.0000,231.12,0.58,-1795.66,217.79,,,11.2351160,9.381813,6.995,6.397,6.042,5.835,CNS5 3092
19,1,,,0,,2306965202564744064,439,1.38328415235,-37.36774402806,2016.0000,230.12,0.04,5633.44,-2334.72,25.29,0.15,7.6824937,6.616270,5.328,4.828,4.523,4.403,CNS5   19
510,83.1,,,0,,76868614540049408,,30.05898704765,+13.04407120112,2016.0000,223.79,0.08,1096.46,-1771.53,,,10.6810620,9.383672,7.514,6.970,6.648,6.464,CNS5  510
3093,473,B,2,0,,3902874650601954816,,188.31467677588,+9.02182920834,2016.0000,223.51,0.53,-1710.47,203.10,,,11.2401620,9.539625,6.995,6.397,6.042,5.835,CNS5 3093
4343,687,,,0,,1637645127018395776,86162,264.10405257320,+68.33349763759,2016.0000,219.82,0.02,-320.67,-1269.89,,,8.0286400,6.867062,5.335,4.766,4.548,4.398,CNS5 4343
4293,674,,,0,,5951824121022278144,85523,262.17016392212,-46.89910489864,2016.0000,219.68,0.03,572.57,-880.58,,,8.3364310,7.193375,5.711,5.154,4.855,,CNS5 4293
4091,12393,,,0,,,,249.92017050000,-68.79428800000,2000.0000,219.60,2.30,578.10,-3107.50,,,,,,,,17.266,CNS5 4091
2648,3622,,,0,,3757613049856225792,,162.05518399901,-11.34280331974,2016.0000,219.35,0.08,579.02,-1530.08,-0.20,3.00,12.8374470,11.359858,8.857,8.263,7.926,7.662,CNS5 2648
2877,440,,,0,,5332606522595645952,57367,176.45664661730,-64.84305284610,2016.0000,215.72,0.02,2661.64,-344.93,,,11.4231040,11.230018,11.188,11.130,11.104,11.038,CNS5 2877
4921,1245,,,0,,2079073928612821760,,298.48192590176,+44.41290615923,2016.0000,214.60,0.06,349.36,-480.32,5.43,0.10,11.9083110,10.509522,8.275,7.728,7.387,7.117,CNS5 4921
4370,12549,,,0,,,,265.35095820000,+25.88867220000,2000.0000,214.30,2.80,-505.30,-1472.60,,,,,16.480,16.240,16.890,15.301,CNS5 4370
5644,876,,,0,,2603090003484152064,113020,343.32411100184,-14.26668939352,2016.0000,214.09,0.04,957.71,-673.60,,,8.8750590,7.643721,5.934,5.349,5.010,4.863,CNS5 5644
2631,3618,,,0,,5254061535106490112,,161.08527551332,-61.20263830459,2016.0000,206.97,0.05,-346.21,1611.10,,,11.8594220,10.474081,8.492,8.054,7.728,,CNS5 2631
28,1002,,,0,,2441630500517079808,,1.67635042594,-7.54647532526,2016.0000,206.37,0.06,-811.57,-1893.25,,,11.7738320,10.397489,8.323,7.792,7.439,,CNS5   28
732,10402,,,0,,4752399493622045696,,43.77198593477,-47.01672835623,2016.0000,205.43,0.19,1012.44,-554.03,,,18.5984270,16.880054,13.246,12.204,11.558,10.769,CNS5  732
2501,380,,,0,,823773494718931968,49908,152.83292895823,+49.45198889710,2016.0000,205.31,0.03,-1363.29,-505.77,-26.49,0.13,5.9611735,5.066091,3.894,3.298,2.962,2.232,CNS5 2501
2702,412,A,2,1,,778947814402602752,54211,166.34205974427,+43.53094856108,2016.0000,203.92,0.04,-4406.47,938.53,,,7.9126650,6.877863,,,,4.641,CNS5 2702
2703,412,B,2,0,,778947608243864320,,166.35208967877,+43.52590762036,2016.0000,203.84,0.06,-4339.85,960.70,,,12.2572530,10.854758,8.742,8.177,7.839,,CNS5 2703
2533,388,,,0,,625453654702751872,,154.89881370111,+19.86980990545,2016.0000,201.45,0.03,-498.62,-43.43,,,8.2040910,7.032551,5.449,4.843,4.593,,CNS5 2533
5309,832,,,0,,6562924609150908416,106440,323.39125187764,-49.01263039681,2016.0000,201.35,0.03,-45.92,-816.87,12.52,0.15,7.7399470,6.662552,5.349,4.766,4.501,,CNS5 5309
69,1005,,,0,,,1242,3.86527706007,-16.13230908599,1991.2500,200.53,9.41,731.83,-607.73,,,,,,,,,CNS5   69
4348,682,,,0,,5955305209191546112,86214,264.26088738973,-44.32338224304,2016.0000,199.74,0.03,-705.95,-938.08,,,9.6021530,8.340336,6.544,5.917,5.606,,CNS5 4348
1053,166,B,3,0,,3195919254111315712,,63.83078752438,-7.67295213541,2016.0000,199.69,0.06,-2236.17,-3338.96,,,9.5422400,9.672128,9.849,9.986,9.861,,CNS5 1053
1051,166,A,3,1,,3195919528989223040,19849,63.80795300602,-7.66807781502,2016.0000,199.61,0.14,-2240.08,-3421.81,-42.62,0.42,4.1798940,3.569749,3.013,2.594,2.498,,CNS5 1051
1052,166,C,3,0,,3195919254111314816,,63.82965602087,-7.67090338261,2016.0000,199.45,0.08,-2247.18,-3409.82,,,9.7753090,8.501209,6.747,6.278,5.962,5.701,CNS5 1052
5620,873,,,0,,1934263333784036736,112460,341.70282545224,+44.33195332332,2016.0000,198.00,0.02,-706.22,-458.92,,,9.0052350,7.791977,6.106,5.554,5.299,5.202,CNS5 5620
2209,1116,B,2,0,,660597997697274752,,134.55869151139,+19.76257888199,2016.0000,196.28,0.26,-937.13,-34.56,,,12.4855700,11.024552,,,,6.642,CNS5 2209
4474,702,B,2,0,,4468557611977674496,88601,271.36591160904,+2.49419875809,2016.0000,195.86,0.29,333.29,-1068.35,,,5.5392184,4.735470,,,,,CNS5 4474
4473,702,A,2,1,,4468557611984384512,88601,271.36445381846,+2.49522409591,2016.0000,195.57,0.23,206.53,-1107.49,,,3.9873640,3.405753,,,,,CNS5 4473
4912,768,,,0,,,97649,297.69450818881,+8.86738473117,1991.2500,194.95,0.57,536.23,385.29,,,,,,,,,CNS5 4912
2210,1116,A,2,1,,660597997696173440,,134.55918967907,+19.76295984349,2016.0000,194.16,0.15,-767.06,-100.18,,,11.9662800,10.547036,,,,6.642,CNS5 2210
3734,12169,,,0,,1695191332232990720,,226.70263614662,+70.46161913358,2016.0000,193.94,0.61,-1194.18,1042.19,,,20.2250250,18.331950,13.740,13.650,13.826,13.403,CNS5 3734
1492,3379,,,0,,3316364602541746048,,90.01597644160,+2.70637407990,2016.0000,192.06,0.03,309.15,-40.37,,,9.9013270,8.654313,6.905,6.308,6.042,,CNS5 1492
2055,11204,,,0,,5278042880077383040,,124.37351805520,-61.91613022265,2016.0000,191.79,0.41,-156.45,1099.37,,,20.0352000,18.231085,13.613,13.526,13.520,12.972,CNS5 2055
2891,445,,,0,,1129149723913123456,57544,176.93940798148,+78.69329745305,2016.0000,190.36,0.02,748.42,480.80,,,9.5513370,8.347287,6.724,6.217,5.954,5.816,CNS5 2891
3863,12259,,,0,,5985290231327158144,,235.19517746259,-51.02810130690,2016.0000,187.74,0.06,1949.46,-324.79,,,12.7359295,11.288808,8.961,8.299,7.943,7.632,CNS5 3863
2389,11394,,,0,,,,144.89972730000,-24.81082630000,2000.0000,187.00,5.00,573.40,-1044.70,,,,,15.980,15.797,16.556,14.906,CNS5 2389
1257,3323,,,0,,3187115498866675456,,75.48680521252,-6.94858740903,2016.0000,186.10,0.03,-551.75,-533.65,,,10.6493050,9.380491,7.617,7.065,6.736,6.548,CNS5 1257
3403,526,,,0,,3741297293732404352,67155,206.44056584486,+14.88505270460,2016.0000,184.03,0.03,1776.01,-1455.16,15.56,0.15,7.6105833,6.569380,5.181,4.775,4.415,,CNS5 3403
1121,169.1,B,2,0,,470826482637310848,,67.81389197465,+58.96948120514,2016.0000,181.30,0.03,1334.78,-1947.64,,,12.3361900,12.051627,,,,,CNS5 1121
1119,169.1,A,2,1,,470826482637310080,21088,67.80919062833,+58.96797997155,2016.0000,181.28,0.06,1300.36,-2046.11,,,9.7025650,8.451808,6.622,6.012,5.717,,CNS5 1119
2747,11600,,,0,,,,168.70312290000,-26.30775910000,2000.0000,179.20,1.40,-3021.50,-389.50,,,,,15.858,15.734,16.109,15.251,CNS5 2747
1713,251,,,0,,939072613334579328,33226,103.70012922714,+33.26640801817,2016.0000,179.11,0.03,-726.67,-398.10,,,8.8635510,7.695540,6.104,5.526,5.275,5.119,CNS5 1713
5161,13024,,,0,,6882963066420161664,103039,313.13613275965,-16.97455846821,2016.0000,177.99,0.04,-309.12,37.05,,,10.0817010,8.835035,7.090,6.517,6.199,,CNS5 5161
965,10528,,,0,,,,57.50130250000,-56.97514400000,2000.0000,176.40,2.30,-208.70,-575.40,,,,,,,,18.699,CNS5  965
4601,12692,,,0,,2091177593123254016,,278.90744884954,+32.99478715870,2016.0000,175.86,0.05,-72.65,-755.15,8.40,2.00,14.8509620,13.305739,10.270,9.617,9.171,8.837,CNS5 4601
1375,205,,,0,,3209938366665770752,25878,82.86754111476,-3.68652760191,2016.0000,175.34,0.02,761.63,-2092.21,8.26,0.14,7.1082892,6.069535,4.999,4.149,4.039,3.790,CNS5 1375
1054,10582,,,0,,,,63.83860660000,-9.58345690000,2000.0000,175.20,1.70,2214.30,535.90,,,,,15.695,15.537,15.429,15.140,CNS5 1054
3707,12151,,,0,,6305165514134625024,,224.97665286075,-18.53775641090,2016.0000,174.04,1.83,8.94,-9.87,,,20.4353490,18.809788,,,,16.878,CNS5 3707
1529,229,B,2,0,,,,92.64500000000,-21.86666700000,2000.0000,173.70,0.05,-135.99,-719.09,,,,,,,,,CNS5 1529
1528,229,A,2,1,,2940856402123426176,29295,92.64357908168,-21.86782311323,2016.0000,173.59,0.02,-135.69,-719.18,4.02,0.16,7.3134713,6.291551,5.104,4.393,4.166,,CNS5 1528
4846,764,,,0,,2261614264931057664,96100,293.09759805108,+69.65345106255,2016.0000,173.49,0.09,597.38,-1738.29,26.58,0.16,4.4490410,3.865173,3.423,3.039,2.900,,CNS5 4846
1415,213,,,0,,3340477717172813568,26857,85.54770759482,+12.48235991779,2016.0000,172.73,0.03,1997.34,-1569.35,,,10.1137800,8.873728,7.124,6.627,6.389,,CNS5 1415
3699,12147,B,2,0,570.,,,224.31599720000,-21.36890570000,2000.0000,170.01,0.09,1031.40,-1723.65,,,,,15.324,15.268,15.242,14.932,CNS5 3699
3700,570,A,2,1,,6232511606838403968,73184,224.37159427348,-21.42314039626,2016.0000,169.88,0.07,1031.47,-1723.62,26.81,0.13,5.3640366,4.637024,3.663,3.085,3.048,,CNS5 3700
4403,693,,,0,,5918660719983560192,86990,266.63344447279,-57.32506180218,2016.0000,169.83,0.05,-1116.91,-1353.93,,,9.5922730,8.416265,6.855,6.297,6.016,,CNS5 4403
5871,908,,,0,,2739689239311660672,117473,357.30660382313,+2.39691794420,2016.0000,169.26,0.03,992.72,-968.81,-71.79,0.17,8.1529170,7.120805,5.827,5.282,5.043,4.967,CNS5 5871
4800,754,,,0,,6663600360560306560,,290.20411626708,-45.57110617010,2016.0000,169.24,0.07,658.78,-2896.15,,,10.7529130,9.472213,7.661,7.130,6.845,,CNS5 4800
4779,752,A,2,1,,4293318823182081408,94761,289.22765150362,+5.16297630267,2016.0000,169.10,0.03,-579.08,-1332.87,35.55,0.16,8.0999110,6.977150,5.583,4.929,4.673,,CNS5 4779
4780,752,B,2,0,,4293315765165489536,,289.23737369675,+5.14437331543,2016.0000,169.03,0.07,-598.76,-1366.06,29.00,5.00,14.3032875,12.774753,9.908,9.226,8.765,8.535,CNS5 4780
3826,588,,,0,,6002807341299977216,76074,233.04692742483,-41.28017408697,2016.0000,169.03,0.03,-1176.45,-1030.97,,,8.2741785,7.139158,5.647,5.025,4.759,4.664,CNS5 3826
239,34,A,2,1,,425040000962559616,3821,12.28522738152,+57.81272812559,2016.0000,168.83,0.19,1078.61,-551.13,,,3.3200667,2.848621,2.109,2.086,1.988,,CNS5  239
238,34,B,2,0,,425040000962497792,3821,12.28118476422,+57.81573918855,2016.0000,168.75,0.02,1144.69,-469.67,10.45,0.14,6.7620440,5.855964,7.167,4.147,3.881,,CNS5  238
4233,663,B,3,0,,4109030160308317312,84405,258.83511696459,-26.60789783205,2016.0000,168.13,0.12,-465.86,-1141.17,,,4.8285910,4.222806,,,,,CNS5 4233
4232,663,A,3,1,,4109030160308320128,84405,258.83412017813,-26.60680661540,2016.0000,168.00,0.15,-498.60,-1149.16,,,4.8313350,4.229096,,,,,CNS5 4232
4238,664,C,3,0,663.,4109034455276324608,84478,259.05329410010,-26.55114609488,2016.0000,167.96,0.04,-479.57,-1124.33,-0.04,0.22,5.8898630,5.116134,4.155,,3.466,,CNS5 4238
