CNS5,GJ,Comp,NComp,P?,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,Epoch,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Jmag,Hmag,Ksmag,W1mag,SimbadName
688,109,,,0,,114207651462714880,12781,41.06888178038,+25.52175109435,2016.0000,130.24,0.03,864.53,-363.20,,,9.4672940,8.316322,6.752,6.197,5.961,,CNS5  688
4607,721,,,0,,,91262,279.23410824812,+38.78299326196,1991.2500,130.23,0.36,200.94,286.23,,,,,,,,,CNS5 4607
5665,881,A,2,1,879.,,113368,344.41177298961,-29.62183680296,1991.2500,129.81,0.47,328.95,-164.67,,,,,,,,,CNS5 5665
2508,382,,,0,,3828238392559860992,49986,153.07293731001,-3.74674755302,2016.0000,129.79,0.03,-152.76,-243.69,7.21,0.33,8.3317610,7.257185,5.888,5.258,5.015,4.838,CNS5 2508
4280,673,,,0,,4375233191015944192,85295,261.43588748671,+2.10615776288,2016.0000,129.68,0.02,-580.32,-1184.74,,,6.9344730,6.047124,4.934,4.341,4.370,,CNS5 4280
3201,11877,,,0,,6135947032490329472,,194.77664455324,-43.60796356259,2016.0000,129.50,0.07,1102.92,-264.54,,,14.8337300,13.307965,10.534,9.954,9.520,9.232,CNS5 3201
1499,3378,,,0,,999747822484300800,,90.29510135819,+59.59306278611,2016.0000,129.35,0.03,-104.94,-928.63,,,10.4172050,9.196526,7.465,6.949,6.639,,CNS5 1499
121,2005,ABC,3,1,,2322561156529549440,,6.18360970657,-27.13725776002,2016.0000,129.32,0.16,-92.74,695.96,-35.10,3.00,13.1587410,11.586876,9.254,8.547,8.241,7.811,CNS5  121
4472,701,,,0,,4177731838628465408,88574,271.28411383660,-3.03279800184,2016.0000,129.26,0.03,569.74,-332.73,32.26,0.19,8.5193950,7.482928,6.161,5.571,5.306,5.236,CNS5 4472
1735,1093,,,0,,3365063724883180288,,104.87435115777,+19.34487368505,2016.0000,129.01,0.08,909.12,-894.55,,,12.7764030,11.390862,9.160,8.547,8.230,7.985,CNS5 1735
4461,12603,,,0,,2161121135533953536,,270.57119282072,+64.26058361909,2016.0000,128.33,0.04,196.39,-383.79,,,11.7580810,10.448387,8.541,7.962,7.652,7.449,CNS5 4461
4458,12601,,,0,,4468009917744160000,,270.11114463028,+1.58076369973,2016.0000,128.05,0.50,183.73,-384.11,-5.10,0.70,19.5749260,17.875895,14.298,13.120,12.421,11.543,CNS5 4458
17,10008,,,0,,,,1.32291340000,+37.62233820000,2000.0000,126.90,2.10,997.30,-271.60,,,,,,,,16.764,CNS5   17
1850,11087,,,0,,,,112.24791400000,-39.89593280000,2000.0000,126.00,8.00,-567.00,1643.00,,,,,15.920,15.979,15.290,15.292,CNS5 1850
4485,1224,,,0,,4145870293808914688,,271.88396508794,-15.96461682602,2016.0000,125.47,0.04,-618.41,-347.01,,,11.8630260,10.560308,8.639,8.085,7.827,7.482,CNS5 4485
1899,11110,,,0,,5535361753834861312,,115.04626042328,-42.95894881178,2016.0000,125.30,0.03,-483.46,504.77,,,12.0307740,10.699945,8.681,8.092,7.768,,CNS5 1899
1724,257,A,2,1,,5559035514779971456,33499,104.43732954613,-44.29139605440,2016.0000,124.57,0.06,-1118.07,-48.93,,,10.4182070,9.188650,6.883,6.365,6.056,5.977,CNS5 1724
1723,257,B,2,0,,5559035514776717312,33499,104.43647190771,-44.29165131400,2016.0000,124.38,0.04,-1172.19,-125.37,,,10.3819620,9.160427,6.883,6.365,6.056,5.977,CNS5 1723
2905,1151,,,0,,786834302080370304,,177.73016381236,+48.37309979652,2016.0000,124.34,0.06,-1545.07,-962.72,,,11.6847060,10.387384,8.488,7.952,7.637,,CNS5 2905
3127,480.1,,,0,,6133474952391837824,61874,190.18807526859,-43.56332197733,2016.0000,124.22,0.03,-782.09,689.56,,,10.9834780,9.796968,8.217,7.703,7.413,,CNS5 3127
4014,623,,,0,,,80346,246.03466137941,+48.35400423362,1991.2500,124.12,1.16,1146.26,-451.86,,,,,,,,,CNS5 4014
4539,713,,,0,,,89937,275.25974417208,+72.73369775642,1991.2500,124.11,0.87,531.21,-349.71,,,,,,,,,CNS5 4539
1208,178,,,0,,3288921720025503360,22449,72.46212402119,+6.96133100854,2016.0000,123.94,0.17,464.06,11.21,,,3.0879216,2.708148,1.984,1.757,1.600,-0.029,CNS5 1208
3162,486,,,0,,3735000631158990976,62452,191.98138882517,+9.74935423088,2016.0000,123.83,0.04,-1008.27,-460.03,,,10.1051410,8.888340,7.195,6.666,6.362,6.206,CNS5 3162
5067,793,,,0,,2246206567973292160,101180,307.63826397516,+65.45081813440,2016.0000,123.69,0.02,443.26,283.35,,,9.4352700,8.285626,6.735,6.136,5.933,,CNS5 5067
5377,13143,,,0,,1954170404122975232,,327.07239546429,+40.06851779302,2016.0000,123.68,0.35,772.18,458.24,-14.52,0.71,19.8180870,18.199100,14.147,12.783,11.765,10.756,CNS5 5377
3008,1154,,,0,,3698534434669937024,,183.56472559956,+0.62272712931,2016.0000,123.67,0.05,-951.34,-284.05,,,11.8286890,10.490647,8.456,7.860,7.540,7.236,CNS5 3008
2039,300,,,0,,5700706729031126656,,123.17043503163,-21.55502398567,2016.0000,123.25,0.03,13.46,-693.99,,,10.6716800,9.416186,7.601,6.964,6.705,6.492,CNS5 2039
1475,1087,,,0,,3320184202856435840,,89.10409821981,+5.35934470933,2016.0000,123.24,0.02,-444.68,-925.14,,,13.9694120,13.465378,12.930,12.720,12.653,12.573,CNS5 1475
4356,686,,,0,,4550763526539955712,86287,264.47662365178,+18.59608765435,2016.0000,122.59,0.02,926.64,984.46,-10.09,0.23,8.7428800,7.710768,6.360,5.790,5.572,,CNS5 4356
1938,293,,,0,,5273943488410008832,,118.30118445722,-67.79867244989,2016.0000,122.45,0.01,1467.12,-1489.72,,,13.7775150,13.261633,12.726,12.476,12.362,12.294,CNS5 1938
1339,10758,,,0,,,,80.36425610000,+36.67878560000,2000.0000,122.20,1.60,569.00,-1511.00,,,,,,,,14.398,CNS5 1339
429,66,A,2,1,,4911306239828325632,,24.95131741551,-56.19325138477,2016.0000,122.11,0.04,262.61,14.96,21.59,0.16,5.5083017,4.886207,3.573,6.684,3.558,,CNS5  429
326,54,,,0,,,5496,17.59293933504,-67.44634763068,1991.2500,122.04,2.42,392.75,571.25,,,,,,,,,CNS5  326
428,66,B,2,0,,4911306239828325760,7751,24.95065662376,-56.19640006625,2016.0000,122.00,0.04,309.23,10.82,20.14,0.16,5.6254873,4.995800,4.043,6.742,3.510,,CNS5  428
4613,12699,,,0,,4479498508613790464,,279.88173905884,+9.02862549790,2016.0000,121.98,0.93,-19.86,-21.53,,,19.0898800,17.155571,15.549,14.830,14.685,14.637,CNS5 4613
511,10282,,,0,,4719430087707860736,,30.16043509733,-55.96826051259,2016.0000,121.71,0.04,113.39,-69.56,,,10.5571330,9.335875,7.625,7.088,6.773,6.619,CNS5  511
5672,884,,,0,,2396530698208685312,113576,345.06283531994,-22.52408921275,2016.0000,121.50,0.03,-902.07,58.04,15.91,0.16,7.2595790,6.360364,5.346,4.696,4.478,4.324,CNS5 5672
288,48,,,0,,533621859441169920,4856,15.65901187560,+71.67812049454,2016.0000,121.49,0.02,1746.70,-381.76,,,8.9418750,7.796079,6.301,5.699,5.449,,CNS5  288
2901,11686,,,0,,,,177.55772030000,+63.04481250000,2000.0000,121.40,2.70,407.20,-540.40,,,,,17.720,18.010,16.650,16.958,CNS5 2901
5302,831,,,0,,,106255,322.82467307884,-9.79053290975,1991.2500,120.52,5.98,1166.28,-62.09,,,,,,,,,CNS5 5302
4399,695,C,3,0,,4594497838483177984,86974,266.60269364371,+27.71382058642,2016.0000,120.43,0.31,-259.38,-671.01,,,9.5859200,7.446526,,,,,CNS5 4399
4752,747,AB,2,1,,,,286.93556559789,+32.54979920871,2016.0000,120.20,0.20,1232.00,1140.00,,,,,,,,,CNS5 4752
963,10527,,,0,,,,57.03054330000,-60.37646420000,2000.0000,120.10,1.80,-279.70,-768.50,,,,,15.318,15.559,15.602,15.024,CNS5  963
7,915,,,0,,4994877094997259264,,0.54842421950,-43.16843961827,2016.0000,120.05,0.03,613.79,-686.99,,,12.8951880,12.692817,12.597,12.425,12.445,12.471,CNS5    7
4401,695,A,3,1,,4594497769766809216,86974,266.61321350584,+27.71727504051,2016.0000,119.92,0.18,-312.09,-773.18,,,3.2384055,2.721814,1.867,1.559,1.511,,CNS5 4401
4400,695,B,3,0,,4594497834189213184,86974,266.60286144324,+27.71373736913,2016.0000,119.89,0.23,-413.97,-798.52,,,9.1849610,7.454041,,,,3.771,CNS5 4400
3356,518,,,0,,3713594960831605760,,204.11607940812,+3.67447928671,2016.0000,119.80,0.03,-3735.84,-1113.58,,,14.3764200,13.721761,13.064,12.819,12.690,12.615,CNS5 3356
4544,1227,,,0,,2159844052779000064,,275.60383795841,+62.04499387477,2016.0000,119.75,0.04,-955.10,-1235.61,,,11.8240050,10.525250,8.640,8.047,7.743,,CNS5 4544
1264,185,A,2,1,,2974726131970829952,23452,75.61783103746,-21.25787832693,2016.0000,119.59,0.05,-166.88,-269.18,,,7.7924075,6.645775,5.450,4.853,4.600,4.568,CNS5 1264
5848,1289,,,0,,2879455480942629248,,355.78150915638,+36.53631037729,2016.0000,119.58,0.06,941.84,-151.27,,,11.1679530,9.902516,8.110,7.446,7.226,,CNS5 5848
2849,11657,,,0,,5224460173763882496,,174.52796501310,-77.36075894393,2016.0000,119.35,0.04,-2063.83,616.59,,,12.8162010,11.456882,9.399,8.890,8.521,,CNS5 2849
1263,185,B,2,0,,2974726136265625088,23452,75.61776596345,-21.25763920201,2016.0000,118.85,0.09,-111.66,-235.83,,,9.6367760,6.678546,5.450,4.853,4.600,4.568,CNS5 1263
